issue_key,issue_id,team_name,project_key,issue_type,quarter_label,cycle_time_start_status,cycle_time_start_utc,cycle_time_end_status,cycle_time_end_utc,resolution_at_cycle_time_end,cycle_time_days,cycle_time_weeks,completed_in_done_category_flag,completed_with_allowed_resolution_flag,data_quality_note,last_refresh_utc
OV-82990,336476,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-05T12:10:15.594Z,Closed,2026-05-06T15:43:38.906Z,Done,1.15,0.16,yes,yes,,2026-06-10T00:04:52.036Z
OV-82439,333667,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-05T17:33:38.639Z,Closed,2026-05-06T16:34:57.348Z,Done,0.96,0.14,yes,yes,,2026-06-10T00:04:52.036Z
OV-82452,333693,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-09T21:51:13.885Z,Closed,2026-05-06T16:35:43.497Z,Done,26.78,3.83,yes,yes,,2026-06-10T00:04:52.036Z
OV-82440,333669,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-06T16:34:49.122Z,Closed,2026-05-06T16:35:52.603Z,Done,0,0,yes,yes,,2026-06-10T00:04:52.036Z
OV-83052,336697,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-30T15:43:28.998Z,Closed,2026-05-06T16:36:53.240Z,Done,6.04,0.86,yes,yes,,2026-06-10T00:04:52.036Z
OV-82993,336482,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-06T15:43:43.380Z,Closed,2026-05-06T16:38:20.909Z,Done,0.04,0.01,yes,yes,,2026-06-10T00:04:52.036Z
OV-82994,336484,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-06T15:43:45.213Z,Closed,2026-05-06T17:42:52.559Z,Done,0.08,0.01,yes,yes,,2026-06-10T00:04:52.036Z
OV-82810,335466,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-29T16:46:25.064Z,Closed,2026-05-07T15:32:16.102Z,Done,7.95,1.14,yes,yes,,2026-06-10T00:04:52.036Z
OV-82814,335474,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-07T15:32:28.737Z,Closed,2026-05-07T15:41:58.439Z,Done,0.01,0,yes,yes,,2026-06-10T00:04:52.036Z
OV-82811,335468,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-05T15:37:11.252Z,Closed,2026-05-07T17:05:58.156Z,Done,2.06,0.29,yes,yes,,2026-06-10T00:04:52.036Z
